feature_0,feature_1
-7.990203036617099,-5.127839149852324
-7.4348267178444685,-4.9989525238353565
-7.32581062436605,-8.769650324221477
-5.329126698337193,-7.878463634014738
-5.8477826516826354,-8.365669966312918
-5.032990195103604,-7.950194359602099
-6.571825422259211,-8.590277985932572
-5.684580562226428,-8.40329649805972
-5.214152746688693,-5.865739528257816
-8.160056543647553,-5.125315411291582
-6.197735701524959,-5.033402267539913
-6.257817228934074,-8.450334313166403
-5.081940664301747,-6.239266732008937
-6.471374435436799,-8.582693197513787
-6.949792902609917,-8.541070526791938
-8.131166615341714,-5.436344989202687
-6.671244383203717,-8.921844461700237
4.929653693124514,4.048570482586171
4.981634812005261,3.8493405231566182
2.861158587323823,3.4692139954299153
2.5724367361882248,1.8840496444279435
2.5159831119182945,1.447414662259971
2.926744307137224,3.327042058106145
5.272660702334386,4.243862541745128
3.319645629207459,3.8046284497950857
3.124687774029549,3.3400439513852564
6.327020471300666,2.8548094408901825
3.105764665492479,3.250846505839241
2.9474142065132822,3.502720003401346
6.604603969144491,2.008433235912461
3.4566203235623263,-0.0660624938193685
5.053313739451802,3.8499654964987977
-2.300334028047995,7.054616004318546
-1.68713746305826,10.911079110852269
-4.534340209710358,9.20074044296775
-3.746148333930832,7.693829515114045
-1.8229374326782368,7.40157025700867
-4.4279688383517914,8.987772252749105
-4.234115455565783,8.45199859895735
-0.9299848075453588,9.78172085735123
-2.267235351486716,7.101005883540523
-2.417436846517248,7.026717213597429
-2.1655793334842888,7.251245972835587
