col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,Age,Salary
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,75415.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,120009.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,78453.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,87961.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,101876.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,117290.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,79523.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,108395.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54.0,112996.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,77281.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,87308.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,99602.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,96794.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,98591.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,11000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,30513.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,37879.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,32998.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,35385.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,34279.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,30022.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,33058.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,33951.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,33356.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,34960.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,38013.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,79537.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,66421.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,64596.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,63741.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,65753.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,65518.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,83799.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,69162.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,68945.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,68672.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,93759.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,93549.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,21392.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,21037.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,20480.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,21889.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,21524.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,108424.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,68622.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,67783.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,67072.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,20201.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,67831.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,49.0,18124.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,26286.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,21560.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,23496.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,72271.0
